Date,Product,Price,Zipcode
2023-08-31,Xylitol,11.32,14494
2024-05-27,Milk,62.81,11617
2024-01-29,Vinegar,62.95,14861
2023-10-02,Sugar,81.83,11755
2023-07-27,Milk,10.76,12210
2024-05-17,Carrots,21.31,11132
2023-09-26,Oranges,94.88,10967
2024-04-15,Oranges,75.04,11177
2023-11-01,Ice Cream,36.36,14529
2024-03-08,Sugar,95.35,12306
2024-01-22,Grapes,84.89,12997
2024-05-22,Apples,22.24,14801
2023-08-29,Udon,25.98,14702
2024-04-04,Rice,95.1,12268
2024-02-07,Honey,9.96,10775
2024-03-07,Sugar,3.41,13796
2024-02-04,Honey,7.56,11030
2024-06-23,Bananas,16.33,14601
2024-02-22,Quinoa,19.14,10986
2024-02-08,Lettuce,81.14,10115
2024-01-03,Yogurt,83.17,13384
2023-11-17,Kale,38.62,14262
2024-01-14,Lettuce,84.29,12301
2023-11-20,Vinegar,78.55,11209
2023-08-04,Apples,71.5,13183
2024-06-17,Water,93.32,12725
2023-11-14,Tomatoes,50.78,12157
2023-12-29,Carrots,91.53,13003
2024-01-13,Apples,64.81,13372
2024-07-09,Yogurt,98.8,13763
2024-06-16,Flour,58.29,11639
2023-11-17,Pasta,25.37,13864
2023-12-05,Water,29.1,13970
2023-11-11,Detergent,50.59,12682
2024-04-25,Rice,87.76,11735
2023-09-24,Bananas,74.86,14784
2024-07-14,Bananas,74.59,13185
2024-01-13,Eggs,39.96,14543
2024-03-05,Bananas,94.88,11603
2024-04-16,Eggs,64.64,11176
2024-04-08,Udon,90.13,12663
2023-08-07,Detergent,48.25,11082
2024-04-30,Vinegar,76.95,11327
2023-11-24,Oranges,37.45,14340
2024-04-19,Grapes,71.6,10684
2023-12-01,Water,22.82,10770
2024-04-22,Vinegar,51.72,14304
2024-05-21,Udon,81.93,13890
2023-12-28,Ice Cream,85.05,14276
2023-08-09,Zucchini,98.13,10882
2023-12-24,Tomatoes,39.24,10007
2024-07-02,Vinegar,54.84,11979
2024-03-21,Bananas,97.67,12429
2024-04-07,Pasta,81.09,12811
2024-07-04,Grapes,4.81,11449
2024-01-03,Water,88.93,11040
2024-05-03,Eggs,38.22,14759
2023-08-24,Carrots,68.08,10658
2024-05-14,Detergent,59.47,12037
2024-06-07,Detergent,46.29,11257
2024-06-22,Tomatoes,21.01,11865
2023-11-11,Pasta,49.34,12999
2024-07-11,Rice,2.37,14597
2023-08-13,Carrots,99.26,13394
2023-12-20,Milk,57.21,13321
2023-07-24,Pasta,96.58,12246
2023-11-18,Yogurt,39.68,13943
2023-08-01,Juice,92.54,12775
2024-07-02,Rice,90.26,14036
2024-05-14,Grapes,29.2,11336
2023-11-19,Sugar,25.22,12851
2024-03-08,Juice,53.08,11171
2023-11-23,Tomatoes,77.22,10765
2024-01-27,Water,12.67,10627
2023-11-23,Zucchini,70.15,14574
2024-07-03,Ice Cream,92.83,14761
2024-03-29,Pasta,1.52,14595
2024-04-08,Sugar,87.96,11744
2024-02-14,Nuts,64.25,14547
2024-03-25,Grapes,42.23,10356
2024-04-04,Bananas,50.55,13363
2023-09-07,Kale,45.21,14201
2023-12-07,Apples,38.4,10227
2023-08-26,Ice Cream,7.42,12013
2023-09-25,Pasta,30.13,11148
2024-02-07,Tomatoes,79.7,11439
2024-05-16,Eggs,90.62,13891
2023-12-12,Nuts,39.71,14495
2024-03-31,Juice,4.82,10991
2024-01-06,Apples,24.63,10167
2024-04-14,Ice Cream,73.79,14030
2024-01-27,Vinegar,86.39,11816
2023-11-04,Apples,32.92,11343
2023-08-06,Oranges,29.46,10153
2024-02-05,Apples,4.48,12496
2024-02-01,Water,37.14,13508
2023-07-28,Rice,21.17,13925
2023-11-19,Pasta,2.97,13960
2023-10-04,Honey,79.7,12931
2024-07-03,Yogurt,16.39,10643
2024-01-09,Zucchini,85.4,13853
2024-02-10,Yogurt,25.92,11156
2024-06-12,Ice Cream,24.84,13152
2024-01-17,Nuts,20.07,13367
2023-11-01,Xylitol,91.43,12630
2023-08-15,Grapes,14.03,10943
2024-03-14,Pasta,4.86,12935
2024-03-22,Vinegar,88.09,10435
2024-04-26,Detergent,74.0,11331
2023-08-10,Carrots,72.84,11284
2023-09-29,Nuts,76.76,10488
2023-09-24,Oranges,31.73,13354
2024-07-06,Rice,30.09,13897
2024-06-10,Nuts,18.64,14393
2024-04-02,Nuts,40.88,11073
2024-02-22,Flour,50.83,13709
2023-08-24,Oranges,75.14,14125
2023-08-26,Carrots,49.24,11214
2024-06-19,Yogurt,16.73,10886
2023-08-01,Tomatoes,19.29,11897
2024-04-03,Grapes,97.52,11070
2024-03-12,Rice,79.45,10826
2024-01-08,Xylitol,51.29,12961
2023-08-16,Detergent,85.33,13543
2023-09-28,Ice Cream,65.46,13586
2024-01-06,Honey,52.37,11220
2023-11-08,Rice,70.95,11572
2023-12-10,Juice,28.87,10977
2023-12-27,Quinoa,89.49,12213
2024-04-11,Udon,89.73,11234
2024-03-24,Xylitol,58.86,10177
2024-02-15,Tomatoes,74.55,14333
2024-05-07,Kale,51.93,12454
2023-08-02,Udon,22.1,11652
2023-08-04,Zucchini,76.53,12844
2023-09-30,Apples,59.28,10043
2024-06-09,Bananas,94.55,12118
2024-01-21,Kale,91.22,11556
2024-04-21,Pasta,56.54,10323
2024-05-31,Xylitol,8.12,14812
2024-03-26,Honey,11.75,13254
2024-02-18,Ice Cream,47.04,12439
2023-10-21,Milk,26.82,12923
2023-07-20,Vinegar,17.33,11353
2023-10-01,Flour,9.15,10140
2024-01-30,Grapes,8.76,14272
2024-01-02,Lettuce,38.11,13707
2023-08-12,Flour,20.84,12238
2023-07-23,Flour,36.01,11785
2023-10-10,Kale,9.07,11144
2023-10-28,Ice Cream,66.44,13162
2023-08-24,Udon,61.91,10811
2023-10-27,Carrots,96.25,10616
2024-02-26,Juice,24.22,12188
2024-02-05,Detergent,5.77,10697
2023-07-17,Detergent,98.41,10492
2023-11-20,Ice Cream,12.53,13504
2024-03-30,Pasta,12.66,10315
2024-01-07,Honey,40.77,14573
2024-07-07,Yogurt,1.61,13527
2023-11-26,Milk,29.0,14754
2023-07-29,Eggs,2.51,10922
2024-05-08,Flour,20.92,14569
2023-09-30,Tomatoes,22.94,11645
2023-12-22,Lettuce,78.76,12622
2024-06-18,Milk,82.18,14162
2023-07-22,Bananas,26.75,12292
2024-06-25,Xylitol,86.26,11468
2023-07-22,Sugar,85.33,13938
2023-10-14,Grapes,72.54,11257
2023-09-20,Carrots,54.87,11532
2024-04-09,Milk,62.91,13980
2023-10-06,Milk,11.32,12186
2024-01-09,Detergent,68.43,12864
2023-07-23,Rice,9.46,12954
2023-08-06,Detergent,68.55,12166
2024-07-15,Flour,88.14,13618
2023-10-13,Ice Cream,41.35,13667
2023-09-14,Flour,17.88,12804
2023-11-13,Carrots,16.5,10820
2024-02-19,Yogurt,24.38,14635
2023-09-17,Lettuce,52.4,11405
2024-01-18,Udon,20.28,13255
2023-08-27,Bananas,62.72,14021
2023-11-09,Lettuce,50.57,13970
2024-04-05,Ice Cream,21.71,10131
2023-07-22,Xylitol,26.67,11581
2024-03-10,Ice Cream,86.05,12963
2024-03-08,Flour,69.34,12641
2023-12-16,Kale,57.53,14846
2024-01-02,Vinegar,8.88,12157
2024-07-02,Quinoa,98.2,12547
2023-08-13,Kale,20.64,11782
2024-06-19,Rice,81.11,13951
2023-09-10,Quinoa,33.16,13835
2024-03-18,Eggs,55.43,10105
2023-08-09,Quinoa,41.77,12422
2024-06-21,Vinegar,9.15,12549
2023-11-09,Detergent,39.69,13784
2024-06-29,Xylitol,95.71,13668
2024-06-10,Sugar,16.54,11585
2023-10-09,Grapes,47.77,12664
2023-08-29,Milk,78.16,12055
2024-01-16,Kale,82.8,11941
2023-12-18,Yogurt,79.63,12973
2023-12-17,Milk,68.77,14254
2024-01-25,Vinegar,87.08,12034
2024-07-12,Detergent,27.14,12534
2024-04-29,Oranges,12.43,11181
2023-08-08,Ice Cream,77.92,14207
2024-06-01,Vinegar,69.61,13022
2024-05-05,Grapes,1.58,10084
2024-01-19,Bananas,76.64,11180
2024-04-10,Detergent,28.36,11537
2023-12-30,Oranges,17.72,12288
2024-03-16,Lettuce,70.5,10423
2024-03-31,Juice,45.55,11478
2024-01-07,Lettuce,36.9,14192
2023-10-21,Honey,54.42,14200
2024-04-07,Carrots,87.64,12273
2024-02-12,Water,83.11,12682
2024-04-25,Flour,47.62,10129
2024-01-07,Oranges,20.41,10412
2023-08-10,Juice,70.57,12223
2023-10-15,Grapes,29.75,11339
2023-08-27,Oranges,85.78,14653
2024-05-07,Grapes,70.12,14080
2024-02-08,Detergent,92.35,12516
2023-08-14,Rice,78.84,14384
2024-07-13,Quinoa,6.45,12286
2024-03-29,Tomatoes,92.27,10903
2023-10-17,Quinoa,3.84,13802
2024-03-29,Flour,50.78,13893
2024-03-02,Milk,38.98,11797
2024-03-12,Oranges,48.42,11583
2023-11-06,Honey,12.72,10460
2024-01-13,Honey,98.28,11955
2023-12-24,Nuts,77.92,12518
2023-08-10,Udon,99.14,10917
2023-09-10,Carrots,64.82,11192
2024-06-06,Kale,6.22,11166
2023-08-15,Apples,77.83,14532
2024-05-04,Eggs,96.53,11174
2023-08-26,Flour,53.69,11353
2023-11-04,Ice Cream,57.37,14862
2024-06-29,Eggs,97.06,10795
2024-06-26,Pasta,88.69,14509
2023-08-07,Zucchini,90.4,12421
2023-10-19,Grapes,86.34,12658
2023-08-21,Kale,46.6,10736
2023-10-16,Juice,21.93,10720
2024-05-20,Zucchini,89.29,10996
2024-06-01,Flour,12.96,11555
2023-10-17,Zucchini,89.84,10719
2024-01-17,Pasta,46.06,14822
2024-03-23,Rice,13.86,10193
2024-03-08,Bananas,85.61,10132
2024-04-04,Milk,23.87,10718
2024-04-18,Nuts,2.35,10398
2024-06-08,Nuts,88.28,12194
2023-11-15,Apples,89.47,14666
2023-09-28,Yogurt,83.52,10878
2024-03-03,Eggs,89.85,13449
2024-03-11,Water,44.67,12319
2024-04-25,Vinegar,23.64,13837
2024-06-05,Quinoa,31.54,13498
2023-10-12,Oranges,56.96,10949
2024-05-21,Nuts,61.54,12180
2023-09-10,Yogurt,14.12,10114
2024-03-23,Udon,95.43,12152
2024-05-31,Detergent,70.84,14289
2024-06-24,Juice,62.67,11942
2024-04-04,Vinegar,69.71,14021
2023-12-07,Ice Cream,69.24,11269
2024-06-23,Grapes,23.08,14743
2023-11-23,Apples,80.6,13343
2023-08-15,Grapes,15.35,12080
2023-08-22,Rice,91.33,12476
2023-10-16,Eggs,13.89,13094
2024-06-10,Zucchini,20.38,10759
2023-08-01,Detergent,2.09,11769
2024-06-26,Detergent,52.57,13304
2024-04-26,Flour,12.14,10541
2023-10-01,Sugar,59.01,14849
2024-05-04,Detergent,66.44,11299
2023-09-03,Kale,93.37,10970
2023-12-06,Water,32.78,13206
2023-12-09,Water,46.71,10214
2023-12-05,Lettuce,38.66,11043
2024-04-04,Xylitol,75.29,12607
2023-10-05,Flour,39.28,13643
2023-12-28,Sugar,78.61,14709
2024-05-06,Vinegar,55.23,12008
2024-06-20,Carrots,80.42,10510
2024-05-28,Rice,66.48,12011
2024-05-20,Rice,68.01,12781
2023-07-25,Kale,35.54,12630
2024-03-12,Juice,29.45,14900
2023-08-12,Sugar,62.62,13230
2024-01-17,Ice Cream,83.16,12839
2024-02-27,Quinoa,14.5,14409
2024-04-23,Rice,1.85,14180
2024-05-11,Yogurt,19.88,14681
2024-05-29,Oranges,39.53,11651
2023-10-19,Sugar,83.52,13460
2024-05-10,Juice,63.24,12019
2024-06-29,Rice,35.36,12934
2024-03-23,Pasta,58.15,13647
2023-09-15,Grapes,56.08,14052
2024-06-15,Udon,92.35,13741
2023-12-18,Nuts,35.65,14752
2023-12-29,Flour,51.95,12318
2024-04-13,Tomatoes,2.44,12775
2024-04-24,Lettuce,28.39,12080
2023-09-13,Yogurt,38.52,13266
2023-12-28,Nuts,5.89,13709
2023-07-24,Eggs,14.53,10864
2023-08-06,Lettuce,49.11,14105
2023-07-22,Quinoa,96.86,11481
2023-08-22,Zucchini,53.87,11775
2024-02-02,Eggs,53.24,11892
2024-06-29,Eggs,17.59,10398
2023-12-07,Water,9.89,14154
2023-08-02,Xylitol,69.11,11659
2024-03-05,Lettuce,97.04,14111
2024-06-01,Zucchini,64.04,10022
2024-01-12,Juice,62.44,12428
2024-02-11,Tomatoes,38.38,14333
2024-03-21,Sugar,16.34,13822
2024-06-12,Grapes,45.16,14206
2024-03-13,Juice,54.35,10475
2024-06-05,Rice,97.73,11275
2023-09-07,Quinoa,95.24,14217
2024-05-19,Xylitol,43.97,11280
2024-05-30,Rice,45.54,14526
2023-09-23,Pasta,60.6,14085
2024-04-26,Milk,24.7,11664
2024-04-03,Milk,92.42,14250
2024-01-24,Zucchini,6.84,13390
2023-09-05,Udon,94.8,14131
2024-02-28,Apples,10.05,10094
2024-02-13,Ice Cream,37.56,13355
2023-10-02,Pasta,64.1,11551
2024-04-21,Water,76.35,13513
2023-08-27,Udon,35.72,11204
2023-10-21,Oranges,36.0,12446
2023-11-26,Grapes,84.88,14628
2023-09-20,Xylitol,99.55,14184
2024-07-01,Juice,40.68,10744
2024-01-13,Kale,75.91,14868
2024-04-06,Flour,70.52,12154
2024-06-16,Tomatoes,31.98,11886
2024-06-29,Apples,93.02,10748
2024-07-08,Detergent,99.77,11985
2023-10-04,Lettuce,52.79,12630
2024-05-31,Water,27.48,11408
2023-08-28,Tomatoes,96.6,13947
2024-06-14,Water,43.35,12531
2024-03-03,Pasta,98.44,10917
2024-04-01,Udon,41.11,10812
2023-11-03,Juice,90.84,10534
2023-10-24,Grapes,14.73,14647
2024-06-20,Nuts,67.48,14113
2023-12-28,Quinoa,83.72,11289
2024-05-06,Xylitol,98.03,14904
2023-10-20,Pasta,31.92,11697
2023-11-22,Pasta,46.68,13626
2023-10-05,Rice,72.54,11622
2024-05-18,Milk,81.23,12777
2023-11-13,Rice,66.82,14518
2024-06-10,Carrots,44.92,11683
2024-02-04,Detergent,12.79,11292
2024-02-27,Honey,96.19,11008
2023-09-24,Honey,1.87,11858
2024-06-13,Eggs,79.92,10536
2023-10-04,Zucchini,40.74,10351
2023-09-13,Bananas,88.75,12524
2023-09-03,Lettuce,78.71,10877
2024-04-24,Xylitol,18.11,11309
2023-10-01,Lettuce,97.85,10447
2024-01-09,Juice,30.82,13190
2024-06-21,Vinegar,60.55,10410
2023-08-09,Nuts,12.05,10286
2024-03-14,Zucchini,20.92,13726
2023-09-25,Udon,52.86,11206
2024-03-02,Honey,53.09,10485
2024-01-24,Quinoa,34.98,11883
2023-10-19,Water,92.17,11340
2023-07-24,Milk,38.02,13516
2023-11-01,Eggs,55.09,12800
2023-11-21,Honey,4.58,12788
2024-06-28,Udon,36.7,12300
2024-01-02,Honey,87.2,12251
2023-10-05,Xylitol,40.36,13785
2024-01-16,Apples,63.18,11358
2024-07-11,Lettuce,59.02,10301
2024-01-26,Pasta,93.55,14768
2024-03-04,Water,59.74,11188
2024-05-28,Lettuce,1.56,11678
2023-11-18,Yogurt,83.77,10313
2024-01-04,Quinoa,75.81,13114
2024-06-25,Milk,53.36,12588
2024-03-31,Juice,27.01,10490
2023-10-16,Oranges,61.36,10874
2024-03-30,Rice,68.43,13609
2024-01-27,Kale,36.43,13286
2024-07-02,Carrots,21.94,14624
2024-03-22,Pasta,85.14,14197
2024-02-02,Flour,59.85,13572
2024-04-04,Ice Cream,2.0,11323
2024-01-16,Carrots,83.96,14862
2023-08-13,Rice,49.22,11828
2023-11-11,Ice Cream,70.3,14087
2023-12-08,Vinegar,7.84,13200
2023-09-19,Kale,3.74,14508
2023-10-09,Eggs,30.4,12735
2024-04-26,Quinoa,56.38,12157
2024-02-26,Lettuce,4.01,11765
2023-12-31,Flour,71.75,10039
2024-04-02,Grapes,48.14,10135
2024-03-20,Detergent,22.55,10534
2023-08-02,Rice,30.13,13152
2023-07-18,Eggs,17.73,11598
2024-05-21,Apples,31.41,11872
2024-05-08,Zucchini,35.24,12581
2024-01-24,Ice Cream,65.74,14410
2023-08-09,Vinegar,33.61,14738
2024-06-29,Lettuce,55.7,11897
2024-07-08,Eggs,80.7,14329
2023-12-29,Lettuce,19.37,13618
2023-09-19,Zucchini,75.15,10147
2024-06-14,Lettuce,57.95,10964
2024-02-21,Grapes,95.21,12292
2023-08-28,Vinegar,49.95,10366
2023-07-29,Nuts,37.03,13944
2023-08-12,Lettuce,80.58,11649
2023-09-12,Nuts,19.5,11630
2024-04-13,Detergent,16.04,14895
2024-05-30,Rice,33.43,10903
2023-11-26,Flour,33.35,13650
2024-01-08,Tomatoes,16.03,14477
2024-05-05,Yogurt,73.36,13841
2023-08-03,Oranges,21.97,13848
2023-11-25,Juice,76.73,11387
2024-01-03,Xylitol,95.13,11476
2024-05-24,Zucchini,13.82,13743
2023-11-20,Bananas,50.47,12358
2024-01-24,Yogurt,92.28,12454
2024-06-27,Xylitol,98.79,12855
2023-08-31,Yogurt,44.38,12822
2023-11-19,Zucchini,71.07,13686
2023-07-30,Kale,33.53,13520
2023-09-06,Grapes,89.12,13340
2024-05-23,Xylitol,85.31,10100
2023-08-02,Honey,92.73,11653
2024-05-23,Nuts,12.52,11802
2024-01-13,Detergent,94.57,14087
2023-12-10,Rice,84.87,14376
2024-06-12,Kale,66.46,11390
2024-05-19,Ice Cream,45.73,12899
2024-06-05,Milk,87.53,11556
2023-12-18,Carrots,5.25,12936
2023-07-24,Quinoa,27.19,10817
2023-09-25,Pasta,46.24,13178
2024-02-04,Apples,52.62,11846
2023-11-05,Eggs,43.04,10870
2024-05-22,Pasta,55.32,10288
2024-03-19,Tomatoes,99.7,11722
2023-12-11,Milk,18.88,10126
2023-08-02,Pasta,9.85,11639
2024-01-22,Pasta,73.64,13854
2023-12-26,Grapes,10.9,13142
2024-01-02,Kale,53.98,10281
2023-08-12,Grapes,59.62,10038
2024-03-06,Nuts,77.59,14082
2023-09-19,Eggs,2.84,14742
2024-04-16,Yogurt,76.78,10224
2023-08-21,Yogurt,69.4,13587
2024-02-17,Xylitol,39.21,12116
2024-06-14,Carrots,38.99,14141
2024-05-20,Tomatoes,7.01,14859
2024-03-29,Oranges,64.5,12123
2023-10-05,Bananas,48.56,10016
2024-03-25,Milk,90.02,10184
2024-01-07,Lettuce,39.01,12165
2023-08-02,Grapes,48.22,14367
2024-05-20,Juice,84.15,13501
2023-11-13,Tomatoes,75.12,10355
2023-12-04,Vinegar,15.91,11387
2024-03-15,Juice,23.47,13226
2023-12-20,Water,44.87,13449
2024-02-18,Zucchini,99.21,14741
2023-09-06,Rice,41.8,12047
2023-11-06,Water,5.68,13006
2024-03-05,Detergent,64.15,10296
2023-08-05,Sugar,66.32,14148
2023-09-02,Vinegar,85.28,10720
2023-09-12,Detergent,64.49,11574
2024-04-09,Water,93.9,14465
2024-01-03,Detergent,43.97,12088
2023-11-08,Oranges,62.93,13190
2023-09-09,Flour,46.9,14223
2024-05-21,Lettuce,16.68,10634
2023-11-07,Kale,80.3,11910
2023-11-08,Flour,86.65,13365
2023-10-09,Oranges,75.78,13939
2024-04-23,Nuts,9.07,10120
2023-07-31,Kale,33.57,10657
2024-04-28,Vinegar,90.59,10505
2023-08-15,Apples,73.63,13525
2023-12-02,Xylitol,86.34,10482
2024-02-19,Apples,53.92,11906
2024-02-23,Oranges,23.18,13276
2023-11-23,Tomatoes,31.94,11400
2024-07-04,Apples,92.54,14231
2024-04-04,Bananas,91.5,13936
2023-08-04,Flour,64.87,13667
2024-04-14,Vinegar,88.23,14512
2024-06-18,Quinoa,1.44,11781
2024-02-02,Ice Cream,52.92,11132
2024-06-30,Bananas,95.46,13303
2023-09-25,Oranges,10.69,11995
2024-04-10,Carrots,25.84,11953
2023-12-04,Milk,57.43,11265
2024-06-21,Kale,30.49,10934
2023-11-14,Flour,83.96,10183
2023-11-06,Milk,1.92,11329
2024-03-11,Zucchini,29.65,12752
2024-07-10,Quinoa,12.51,10746
2023-09-16,Carrots,17.15,11474
2023-11-28,Nuts,47.13,10829
2024-04-07,Kale,66.6,14671
2023-08-11,Sugar,6.45,12454
2023-09-22,Ice Cream,5.73,13305
2024-05-05,Grapes,8.39,13899
2024-02-14,Grapes,84.55,12258
2024-04-04,Rice,63.84,14406
2023-09-16,Xylitol,66.9,10478
2024-03-11,Milk,5.95,11013
2023-12-27,Ice Cream,47.45,11466
2024-06-12,Xylitol,94.67,11465
2024-05-09,Flour,34.15,14412
2024-04-27,Oranges,82.89,11681
2023-09-01,Juice,52.78,10379
2023-12-22,Yogurt,83.75,12673
2023-08-01,Vinegar,75.08,13881
2023-08-17,Nuts,22.68,10042
2023-12-26,Yogurt,83.61,11375
2024-02-29,Tomatoes,44.6,11630
2024-05-13,Udon,32.04,11261
2023-08-10,Detergent,75.71,11739
2023-11-04,Pasta,1.66,10883
2023-09-17,Kale,89.36,11348
2024-02-20,Grapes,64.39,11416
2024-02-29,Lettuce,70.92,14753
2023-09-05,Milk,61.44,10660
2024-01-13,Apples,52.17,13567
2024-02-09,Milk,73.7,13661
2024-04-04,Eggs,32.84,13983
2023-11-03,Rice,30.47,14056
2023-11-16,Lettuce,14.35,12797
2024-03-15,Xylitol,9.5,12618
2023-08-11,Juice,29.8,14801
2023-10-09,Flour,78.16,11799
2024-05-13,Honey,82.2,13692
2024-01-12,Kale,38.23,13713
2024-01-12,Rice,96.81,14210
2024-06-20,Lettuce,53.25,14394
2023-08-03,Carrots,74.2,12298
2024-05-23,Vinegar,57.59,10608
2023-10-12,Quinoa,1.69,12189
2023-11-01,Quinoa,21.68,14120
2023-11-16,Grapes,80.49,14381
2024-06-17,Honey,80.28,10721
2023-08-30,Xylitol,50.56,11689
2023-08-11,Nuts,49.41,11540
2024-02-22,Pasta,73.02,10006
2024-04-29,Milk,71.64,12698
2024-03-21,Grapes,10.83,14189
2023-11-12,Carrots,55.69,14483
2023-10-11,Carrots,98.48,12838
2023-10-06,Kale,38.49,14793
2024-06-15,Nuts,84.57,10103
2024-03-30,Rice,85.25,13810
2024-04-05,Milk,61.35,13120
2023-10-03,Honey,68.32,10392
2023-09-20,Water,66.75,14032
2024-01-25,Tomatoes,96.39,11315
2024-05-07,Sugar,57.62,12712
